Posting Date,CustomerName,BILL TO STATE,Item/Service Description(sku),Segment,Basic Value,TOTAL COGS
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,SBA15 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaSBA15 BK,"2,436.00","1,842.08"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,ATOMIK BB20 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaATOMIK BB20 BK,"5,148.00","3,181.80"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,ATOMIK BB20 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaATOMIK BB20 BK,"5,148.00","3,181.80"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,ATOMIK BB20 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaATOMIK BB20 BK,"5,148.00","3,181.80"
03/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Karnataka,SBA20 BK,45415Simpl (BIL Sigma Technologies Pvt Ltd)KarnatakaSBA20 BK,"-1,110.21",-932.19
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,ATOMIK BB20 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaATOMIK BB20 BK,"5,148.00","3,181.80"
03/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Haryana,SBA20 BK,45415Simpl (BIL Sigma Technologies Pvt Ltd)HaryanaSBA20 BK,"-1,110.21",-588.5
03/05/2024,ARCO GIFT PRODUCTS,Delhi,SBA20-Pro-BK,45415ARCO GIFT PRODUCTSDelhiSBA20-Pro-BK,"11,670.00","11,240.80"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,ATOMIK BB20 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaATOMIK BB20 BK,"5,148.00","3,181.80"
03/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Maharashtra,SBA15 BK,45415Simpl (BIL Sigma Technologies Pvt Ltd)MaharashtraSBA15 BK,-829.66,-566.5
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,SBA15 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaSBA15 BK,"2,436.00","1,842.08"
03/05/2024,M V ENTERPRISES,Maharashtra,SBA15 BK,45415M V ENTERPRISESMaharashtraSBA15 BK,"24,750.00","20,723.40"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,SBA15 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaSBA15 BK,"2,436.00","1,842.08"
03/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Maharashtra,SBA15 BK,45415Simpl (BIL Sigma Technologies Pvt Ltd)MaharashtraSBA15 BK,-829.66,-550
03/05/2024,BHAWANI ENTERPRISE,Gujarat,SBA15 BK,45415BHAWANI ENTERPRISEGujaratSBA15 BK,"3,100.00","2,302.60"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,ATOMIK BB20 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaATOMIK BB20 BK,"5,148.00","3,181.80"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,SBA15 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaSBA15 BK,"2,436.00","1,842.08"
03/05/2024,GOKWIK COMMERCE SOLUTIONS PRIVATE LIMITED,Maharashtra,EM06-TYPE-C-BL,45415GOKWIK COMMERCE SOLUTIONS PRIVATE LIMITEDMaharashtraEM06-TYPE-C-BL,-376.27,-146.83
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,SBA15 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaSBA15 BK,"1,218.00","1,027.02"
03/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Madhya Pradesh,SBA15 BK,45415Simpl (BIL Sigma Technologies Pvt Ltd)Madhya PradeshSBA15 BK,-829.66,-566.5
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,SBA15 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaSBA15 BK,"2,436.00","1,842.08"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,SBA15 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaSBA15 BK,"2,436.00","1,842.08"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,SBA15 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaSBA15 BK,"2,436.00","1,842.08"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,SBA15 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaSBA15 BK,"2,436.00","1,948.08"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,SBA15 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaSBA15 BK,"1,218.00",921.04
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,ATOMIK BB20 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaATOMIK BB20 BK,"5,148.00","3,181.80"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,SBA15 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaSBA15 BK,"2,436.00","1,842.08"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,SBA15 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaSBA15 BK,"2,436.00","1,842.08"
03/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Karnataka,ATOMIK BB20 BK,45415Simpl (BIL Sigma Technologies Pvt Ltd)KarnatakaATOMIK BB20 BK,"-1,569.11",-795.45
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,ATOMIK BB20 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaATOMIK BB20 BK,"5,148.00","3,181.80"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,SBA15 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaSBA15 BK,"3,654.00","2,852.58"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,ATOMIK BB20 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaATOMIK BB20 BK,"5,148.00","3,181.80"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,ATOMIK BB20 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaATOMIK BB20 BK,"5,148.00","3,181.80"
04/05/2024,FLIPKART MARKETPLACE (DELHI),Assam,EM06-TYPE-C-BL,45416FLIPKART MARKETPLACE (DELHI)AssamEM06-TYPE-C-BL,-295.8,-144.11
04/05/2024,CUSTOMER REPLACEMENT,Bihar,BT55 BK,45416CUSTOMER REPLACEMENTBiharBT55 BK,"-1,185.60","-1,446.55"
04/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,EM01 TYPE C BK,45416FLIPKART MARKETPLACE (DELHI)KeralaEM01 TYPE C BK,-465.3,-225.71
04/05/2024,CUSTOMER UNREGISTER,Maharashtra,BTW300-XTREME-BK,45416CUSTOMER UNREGISTERMaharashtraBTW300-XTREME-BK,"2,117.80",711.53
04/05/2024,CUSTOMER REPLACEMENT,Delhi,BE100 BK,45416CUSTOMER REPLACEMENTDelhiBE100 BK,"-1,016.10",-867.23
04/05/2024,DELHIVERY-COD,Punjab,ATOMIK BB50 BK,45416DELHIVERY-CODPunjabATOMIK BB50 BK,"-4,723.70","-2,565.31"
04/05/2024,FLIPKART MARKETPLACE (DELHI),Haryana,BTW12 KHROME WH,45416FLIPKART MARKETPLACE (DELHI)HaryanaBTW12 KHROME WH,"-1,016.10",-652.61
04/05/2024,ARCO GIFT PRODUCTS,Delhi,SBA15-GM,45416ARCO GIFT PRODUCTSDelhiSBA15-GM,"8,916.00","6,852.72"
04/05/2024,FLIPKART MARKETPLACE (DELHI),Delhi,BTW12 KHROME WH,45416FLIPKART MARKETPLACE (DELHI)DelhiBTW12 KHROME WH,"-1,016.10",-652.61
04/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,BTW100 XTREME BK,45416FLIPKART MARKETPLACE (DELHI)KeralaBTW100 XTREME BK,"-3,302.54",-624.5
04/05/2024,FLIPKART MARKETPLACE (DELHI),Madhya Pradesh,BTW300 BL,45416FLIPKART MARKETPLACE (DELHI)Madhya PradeshBTW300 BL,"-1,270.30",-664.95
04/05/2024,CUSTOMER UNREGISTER,Maharashtra,BTW07 ANC BK,45416CUSTOMER UNREGISTERMaharashtraBTW07 ANC BK,"-2,117.80","-1,957.00"
04/05/2024,APPARIO RETAIL PRIVATE LIMITED (B2B),Delhi,SBA15-GM,45416APPARIO RETAIL PRIVATE LIMITED (B2B)DelhiSBA15-GM,"-112,186.10","-74,237.80"
04/05/2024,FLIPKART MARKETPLACE (DELHI),Punjab,BTW09 AIR BK,45416FLIPKART MARKETPLACE (DELHI)PunjabBTW09 AIR BK,-846.6,-443.63
04/05/2024,CUSTOMER REPLACEMENT,West Bengal,BTW300 BL,45416CUSTOMER REPLACEMENTWest BengalBTW300 BL,"-1,694.10",-664.95
04/05/2024,FLIPKART MARKETPLACE (DELHI),Maharashtra,BTW12-KHROME-BL,45416FLIPKART MARKETPLACE (DELHI)MaharashtraBTW12-KHROME-BL,"-1,016.10",-611.8
04/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,BTW12 KHROME BK,45416FLIPKART MARKETPLACE (DELHI)KeralaBTW12 KHROME BK,"-1,007.63",-635.71
04/05/2024,FLIPKART MARKETPLACE (DELHI),Uttar Pradesh,BTW12 KHROME BK,45416FLIPKART MARKETPLACE (DELHI)Uttar PradeshBTW12 KHROME BK,"-1,007.60",-691.94
04/05/2024,FLIPKART MARKETPLACE (DELHI),Chattisgarh,BTW12 KHROME BK,45416FLIPKART MARKETPLACE (DELHI)ChattisgarhBTW12 KHROME BK,"-1,007.63",-635.71
04/05/2024,FLIPKART MARKETPLACE (DELHI),Uttar Pradesh,SBA10 BK,45416FLIPKART MARKETPLACE (DELHI)Uttar PradeshSBA10 BK,-804.2,-581.46
05/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Maharashtra,SBA15 BK,45417Simpl (BIL Sigma Technologies Pvt Ltd)MaharashtraSBA15 BK,-829.7,-546.99
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,BT10 BK,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiBT10 BK,913.82,913.82
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,BE120-BL,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiBE120-BL,"1,165.38","1,165.38"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,SBA20 PARTY BK,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiSBA20 PARTY BK,"1,440.64","1,440.64"
06/05/2024,BlueDart Express Limited-COD,Gujarat,SBW550 BK,45418BlueDart Express Limited-CODGujaratSBW550 BK,"-8,719.49","-4,696.36"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,BTW100-LITE-BL,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiBTW100-LITE-BL,"1,998.00","1,998.00"
06/05/2024,CUSTOMER REPLACEMENT,Karnataka,ATOMIK BB50 BK,45418CUSTOMER REPLACEMENTKarnatakaATOMIK BB50 BK,"-4,278.81","-2,545.44"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,EM06-TYPE-C-BL,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiEM06-TYPE-C-BL,"1,753.85","1,753.85"
06/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Chattisgarh,BTW20 GR,45418Simpl (BIL Sigma Technologies Pvt Ltd)ChattisgarhBTW20 GR,-787.29,-588.97
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,BTW07 ANC BK,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiBTW07 ANC BK,"10,440.84","10,440.84"
06/05/2024,CUSTOMER REPLACEMENT,Tamil Nadu,EM06-TYPE-C-BL,45418CUSTOMER REPLACEMENTTamil NaduEM06-TYPE-C-BL,-295.76,-144.11
06/05/2024,XPRESSBEES (COD),Karnataka,SBA10 GOLD,45418XPRESSBEES (COD)KarnatakaSBA10 GOLD,-973.73,-504.87
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,BE100 BK,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiBE100 BK,"4,986.81","4,986.81"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,BE100 BL,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiBE100 BL,"8,152.20","8,152.20"
06/05/2024,CUSTOMER REPLACEMENT,Karnataka,ATOMIK BB50 BK,45418CUSTOMER REPLACEMENTKarnatakaATOMIK BB50 BK,"-4,278.81","-2,545.44"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,BE200 GR,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiBE200 GR,592.27,592.27
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,SBA01-KRISP-DOLBY-BK,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiSBA01-KRISP-DOLBY-BK,"5,820.00","5,820.00"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,BTW20 BL,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiBTW20 BL,"1,460.22","1,460.22"
06/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Kerala,BTW20 GR,45418Simpl (BIL Sigma Technologies Pvt Ltd)KeralaBTW20 GR,-787.29,-588.97
06/05/2024,CUSTOMER REPLACEMENT,Karnataka,ATOMIK BB20 BK,45418CUSTOMER REPLACEMENTKarnatakaATOMIK BB20 BK,"-1,694.07",-795.45
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,BTW100 XTREME WH,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiBTW100 XTREME WH,"3,829.26","3,829.26"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,TS120 BK,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiTS120 BK,"2,867.97","2,867.97"
06/05/2024,CUSTOMER REPLACEMENT,Tamil Nadu,BTW100 XTREME BK,45418CUSTOMER REPLACEMENTTamil NaduBTW100 XTREME BK,"-1,100.85",-624.5
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,BTW09 BK,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiBTW09 BK,"11,288.22","11,288.22"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,ATOMIK BB20 BK,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiATOMIK BB20 BK,"9,545.40","9,545.40"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,SBW200 BK,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiSBW200 BK,"11,741.79","11,741.79"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,BTW100 BL,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiBTW100 BL,"1,413.32","1,413.32"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,BTW100-XTREME-BL,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiBTW100-XTREME-BL,"4,792.76","4,792.76"
06/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Tamil Nadu,BTW20 GR,45418Simpl (BIL Sigma Technologies Pvt Ltd)Tamil NaduBTW20 GR,-787.29,-588.97
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,EM05 BK,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiEM05 BK,373.86,373.86
06/05/2024,CUSTOMER REPLACEMENT,Karnataka,BTW100 XTREME BK,45418CUSTOMER REPLACEMENTKarnatakaBTW100 XTREME BK,"-1,100.85",-624.5
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,BE100-XTREME-BL,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiBE100-XTREME-BL,"6,357.60","6,357.60"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,BTW300 BL,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiBTW300 BL,"1,314.38","1,314.38"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,EM10 BL,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiEM10 BL,330,330
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,SBA100 BK,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiSBA100 BK,"4,720.00","4,720.00"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,SBA15-GM,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiSBA15-GM,"3,419.58","3,419.58"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,BH41-BK,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiBH41-BK,"6,984.18","6,984.18"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,BH51 BL,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiBH51 BL,"1,814.43","1,814.43"
06/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,SBA20 BK,45418ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiSBA20 BK,"1,832.73","1,832.73"
